recordid,company,occurence,award_year,award_amount
166050,Mediscience Technology,1,1994,80902
166052,"Meeting the Challenge, Inc.",1,1994,249929
172607,Crystallume/edi,6,1992,70076
166054,Mei Technology Company,3,1994,96337
166086,Micro Vesicular System Inc.,1,1994,73161
166055,Mei Technology Company,3,1994,49981
166057,Membrane Development,1,1994,500700
166060,"Merlin Technologies, Inc",3,1994,79534
166061,"Merlin Technologies, Inc",3,1994,100000
166063,Metagene Corp.,2,1994,75000
166064,Metasyn. Inc.,1,1994,80839
166065,Metasyn. Inc.,1,1994,80670
166066,Metatech Corp.,2,1994,335082
166076,"Metrolaser, Inc.",6,1994,59976
166067,Metcal Inc.,1,1994,65000
166068,"Metrolaser, Inc.",6,1994,543323
166072,"Metrolaser, Inc.",6,1994,375000
166073,"Metrolaser, Inc.",6,1994,69960
166079,"Micracor, Inc.",3,1994,345049
166080,"Micracor, Inc.",3,1994,488000
166081,Micro Analysis & Design Inc,5,1994,198353
166083,"Micro Optics Technologies, Inc",4,1994,67958
166084,"Micro Optics Technologies, Inc",4,1994,59772
166087,MicroFab Technologies Inc,3,1994,81000
166090,MicroFlip Inc.,1,1994,249390
166093,Microcom Corp,2,1994,69314
166097,"Microcosm, Inc.",3,1994,450817
166098,"Microcosm, Inc.",3,1994,428345
166100,"Microcosm, Inc.",3,1994,629296
166101,Micromath Inc.,1,1994,488379
166102,"Micromed Systems, Inc.",1,1994,67315
166103,Microminiature Interconnect,1,1994,49612
166104,Microsensor Systems Inc.,4,1994,99794
166106,Microsignal Corp.,1,1994,45762
166107,Microsome,1,1994,49007
166108,"Microstar, Inc.",1,1994,69996
166109,Microsystems For Education &,1,1994,40000
166110,"Microtech Designs, Inc.",1,1994,74967
166144,"Molten Salt Technology, Inc.",2,1994,79825
166111,"Microwave Laboratorytories,",2,1994,95000
166112,"Microwave Laboratorytories,",2,1994,98334
166116,Microwave Monolithics Inc.,4,1994,65000
166117,Microwave Plasma,1,1994,99222
166118,"Mid-south Engineering, Inc.",2,1994,99726
166119,Mide Technology Corporation,5,1994,68133
166120,Mikalix And Company,1,1994,49987
166121,Millitech Corp.,5,1994,99542
166122,Millitech Corp.,5,1994,69808
166123,Millitech Corp.,5,1994,69515
166124,Millitech Corp.,5,1994,374924
168594,"CREATIVE OPTICS, INC.",2,1993,749998
166125,Mirage Systems,2,1994,97561
166154,Mrj Inc.,5,1994,70000
166129,"Moco, Inc.",2,1994,69869
166134,"Modus Operandi, Inc.",6,1994,250000
166135,"Modus Operandi, Inc.",6,1994,60000
166136,Moduspec Co.,2,1994,7000
166137,"Moldyn, Inc.",2,1994,64997
166138,Molecular Geriatrics,1,1994,75628
166139,Molecular Machines Inc.,1,1994,75000
166141,"Molecular Simulations, Inc.",1,1994,64689
166143,"Molten Salt Technology, Inc.",2,1994,85119
166145,"Monterey Technologies, Inc.",3,1994,717090
166149,"Mountain Optech, Inc.",2,1994,602036
166150,Mountain States Analytical,1,1994,37190
166152,"Moxtek, Inc",2,1994,75000
166201,"NOVA ENGINEERING, INC.",5,1994,177973
166155,Mrj Inc.,5,1994,100000
166156,Mtsi,1,1994,79391
166162,Mycotech Corporation,2,1994,482780
166157,"Multimax, Inc.",2,1994,99683
166158,Multisignal Technology,1,1994,74864
175908,Comfocus Development Corp,1,1991,51403
166159,Munroe Machinery Corp,2,1994,50000
166161,Mycorr Tech Inc.,1,1994,50000
166163,Myriad Software,1,1994,99762
166164,"Myricom, Inc.",1,1994,85700
166167,NANOPROBES INC,1,1994,64993
166168,"NANOPTICS, INC.",3,1994,648000
166237,"Net Systems, Inc.",1,1994,45989
166169,"NANOPTICS, INC.",3,1994,600000
166171,"NATIONAL HEALTH PROMOTION ASSOCIATES, INC",2,1994,416924
166172,"NAVSYS CORPORATION, THE",5,1994,50000
166235,NeoMecs Inc.,2,1994,215000
166175,"NAVSYS CORPORATION, THE",5,1994,78649
166176,"NAVSYS CORPORATION, THE",5,1994,70000
166178,"NAVSYS CORPORATION, THE",5,1994,59742
166179,"NAVSYS CORPORATION, THE",5,1994,70000
166541,"Paralogic, Inc.",2,1994,44800
166184,"NEOCERA, LLC",6,1994,60000
166180,"NEOCERA, LLC",6,1994,99733
166210,"NVE CORP. (FORMERLY NONVOLATILE ELECTRONICS, INC.",6,1994,64975
166181,"NEOCERA, LLC",6,1994,49999
166183,"NEOCERA, LLC",6,1994,69999
166185,"NEOTERIC TECHNOLOGIES, INC.",3,1994,98032
166187,"NETWORK DYNAMIC, INC.",2,1994,64260
166188,"NETWORK DYNAMIC, INC.",2,1994,79943
166189,"NEW ENGLAND BIOLABS, INC.",1,1994,74935
166193,"NIELSEN ENGINEERING & RESEARCH, INC.",6,1994,358204
166194,"NIELSEN ENGINEERING & RESEARCH, INC.",6,1994,65000
166195,"NIELSEN ENGINEERING & RESEARCH, INC.",6,1994,70000
166196,"NIELSEN ENGINEERING & RESEARCH, INC.",6,1994,60000
166199,"NIELSEN ENGINEERING & RESEARCH, INC.",6,1994,382704
166200,"NORTHWEST MEDIA, INC",1,1994,73598
166202,"NOVA R&D, INC.",3,1994,513653
166203,"NOVA R&D, INC.",3,1994,75000
166207,"NPS Pharmaceuticals, Inc.",1,1994,76500
166209,NUTRIMED BIOTECH,1,1994,78966
166214,"NVE CORP. (FORMERLY NONVOLATILE ELECTRONICS, INC.",6,1994,69833
166215,"NVE CORP. (FORMERLY NONVOLATILE ELECTRONICS, INC.",6,1994,59998
166217,NZ APPLIED TECHNOLOGIES CORP.,8,1994,247000
166218,NZ APPLIED TECHNOLOGIES CORP.,8,1994,100000
166221,NZ APPLIED TECHNOLOGIES CORP.,8,1994,300000
166223,Nanocrystals Technol Ltd,2,1994,59731
166224,Nanoprobes Inc.orpora,1,1994,498098
166225,"Nanostructures, Inc.",1,1994,99902
166227,Nanosystem Design,1,1994,69970
172659,DYNATHERM CORP.,5,1992,246578
166228,"Nanotronics, Inc.",1,1994,300000
166229,National Recovery Technologies LLC,1,1994,164937
166230,National Recovery Technologies LLC,1,1994,164682
166231,National Recovery Technologies LLC,1,1994,164937
166239,"Netrologic, Inc.",4,1994,68223
166232,Neillen Technologies Corp,2,1994,300000
166234,"Nemapharm, Inc.",1,1994,68713
166238,"Netrologic, Inc.",4,1994,69983
166240,Network Research And,1,1994,99891
166241,"Neuro Scan, Inc.",1,1994,73780
166242,NeuroDimension Incorporated,2,1994,64563
166243,NeuroDyne Inc,5,1994,65000
166244,NeuroDyne Inc,5,1994,70000
166246,NeuroDyne Inc,5,1994,59385
166273,Nipro,1,1994,55862
166249,"Neurocrine Biosciences, Inc.",1,1994,75000
166251,"Neurocrine Biosciences, Inc.",1,1994,77250
166264,New Interconnect & Packaging,5,1994,59918
166252,"Neuromedica, Inc.",1,1994,73501
166253,"Neurotron, Inc.",1,1994,80004
166254,Neushul Mariculture Inc.,2,1994,170978
166270,Night Vision Corp,1,1994,300000
166272,"Nimbus, Inc.",1,1994,74998
166274,Niton Corp.,1,1994,67192
166277,"Nomel Technologies, Inc.",1,1994,63000
166278,North American Films,1,1994,75000
166279,North Star Photronics,1,1994,69850
166280,North Star Research Corp.,5,1994,49762
166281,North Star Research Inc,2,1994,51901
166284,Northwest Botanicals Inc.,1,1994,50000
166285,"Northwest Fuel Development, In",1,1994,600000
166287,"Northwest Research Associates, Inc.",3,1994,80990
166289,"Northwest Research Associates, Inc.",3,1994,296065
166291,"Nova Management, Inc.",5,1994,68322
166292,"Novagen, Inc.",1,1994,75000
166293,Novel Pharmaceuticals,1,1994,80768
166297,Nw Resources,1,1994,75000
166355,Oltech Corp.,1,1994,50000
166299,O'sullivan Consulting Inc.,1,1994,299976
166301,"O. Donn Grace, Phd, Inc.",1,1994,49555
166302,OBJECT SCIENCE CORP.,2,1994,65000
166303,OBJECT SCIENCE CORP.,2,1994,78074
166304,"ONCOGENE SCIENCE, INC.",1,1994,75000
166305,"ONCOGENE SCIENCE, INC.",1,1994,81000
166306,"ONCOR, INC.",1,1994,702400
166307,"ONCOR, INC.",1,1994,62694
166308,"ONE CELL SYSTEMS, INC",1,1994,75000
166309,"ONE CELL SYSTEMS, INC",1,1994,65000
166310,"OPHIDIAN PHARMACEUTICALS, INC.",2,1994,71192
166317,"OPTICAL E.T.C., INC.",5,1994,94359
166318,OPTICOMP CORP.,4,1994,300000
181817,Advanced Communication,2,1989,250000
166321,"OPTICS 1, INC.",4,1994,68287
166323,OPTIMAL SYNTHESIS INC.,4,1994,59989
166326,ORBITAL RESEARCH INC,5,1994,40000
166328,ORINCON,6,1994,98790
166331,ORINCON,6,1994,69983
166332,ORINCON,6,1994,300000
166333,ORINCON,6,1994,70417
166334,ORINCON,6,1994,69918
166335,ORINCON,6,1994,69955
166337,ORINCON,6,1994,280116
166354,Oltech Corp.,1,1994,65000
166338,ORINCON,6,1994,97092
166339,ORINCON,6,1994,76714
166340,ORINCON,6,1994,64936
166341,ORINCON,6,1994,266599
172668,"Damaskos, Inc.",5,1992,50000
166356,"Omega International Technology, Inc.",2,1994,200000
166342,ORINCON,6,1994,102257
166343,ORINCON,6,1994,599970
166345,"OXFORD BIOMEDICAL RESEARCH, INC.",2,1994,463462
166347,"OXFORD BIOMEDICAL RESEARCH, INC.",2,1994,75000
